2016-05-15 12:47:31,029 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ResourceJPA:ResourceJPA:0.0.1-SNAPSHOT @ /Users/alex/SD/ResourceProject/ResourceJPA/pom.xml.
2016-05-15 12:47:31,766 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-15 12:47:31,774 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-05-15 12:47:31,821 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-15 12:47:31,822 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/alex/SD/ResourceProject/ResourceJPA/src/test/resources
2016-05-15 12:47:31,843 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ResourceJPA/src
2016-05-15 12:47:31,844 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /ResourceJPA/src overlaps with sources folder /ResourceJPA/src
2016-05-15 12:47:31,844 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /ResourceJPA/src/test/java because it overlaps with /ResourceJPA/src
2016-05-15 12:47:31,950 [Worker-20] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-05-15 12:47:32,313 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ResourceJPA:ResourceJPA:0.0.1-SNAPSHOT @ /Users/alex/SD/ResourceProject/ResourceJPA/pom.xml.
2016-05-15 12:47:32,574 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ResourceJPA/src
2016-05-15 12:47:32,575 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /ResourceJPA/src overlaps with sources folder /ResourceJPA/src
2016-05-15 12:47:32,583 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /ResourceJPA/src/test/java because it overlaps with /ResourceJPA/src
2016-05-15 12:47:32,651 [Worker-20] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2016-05-15 12:47:32,864 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-15 12:47:32,865 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-05-15 12:47:32,874 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-15 12:47:32,875 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/alex/SD/ResourceProject/ResourceJPA/src/test/resources
